"No.","Time","Source","Destination","Protocol","Length","Info"
"159","0.690287000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=2114 Ack=30268 Win=8355840 Len=0"
"160","0.691273000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"161","0.691282000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"162","0.691286000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=2114 Ack=32988 Win=8355840 Len=0"
"163","0.691289000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"164","0.691291000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"165","0.691293000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=2114 Ack=35708 Win=8355840 Len=0"
"166","0.691294000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"167","0.691296000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","1389","Application Data"
"168","0.691298000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","1037","Application Data"
"169","0.691303000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=2114 Ack=38417 Win=8355840 Len=0"
"170","0.691551000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","477","Application Data"
"171","0.693865000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","40","https > 39808 [ACK] Seq=162 Ack=307 Win=35151 Len=0"
"172","0.694259000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","40","https > 39808 [ACK] Seq=162 Ack=776 Win=34682 Len=0"
"173","0.697375000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"174","0.698060000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1149","[TCP Previous segment not captured] [TCP segment of a reassembled PDU]"
"175","0.698068000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39808 > https [ACK] Seq=776 Ack=1522 Win=4177920 Len=0"
